,ASANAČNÝ PODNIK ,BAGAROVA ,BRATISLAVSKÁ ,BRODNO ,BRODŇANSKÁ ,BUDATÍNSKA ,BYTČIANSKA ,"BYTČIANSKA,STS ",CENTRÁLNA ,CESTÁRSKA ,CINTORÍNSKA ,DOLNÁ ,DOLNÁ TRNOVSKÁ ,FATRANSKÁ ,FURDEKOVA ,CHLMECKÁ ,HÁLKOVA ,HLINSKÁ ,HOLLÉHO ,HORNÁ TRNOVSKÁ ,HÔRECKÁ ,HRIČOVSKÁ ,PRIEHRADA ,HURBANOVA ,HVIEZDOSLAVOVA ,HYZA ,JAKUBSKÁ ,JASEŇOVÁ ,JASTRABIA ,JEDĽOVÁ ,"KAMENNÁ,DOM.POT ","KAMENNÁ,KOVOŠRO ","KAMENNÁ,Š.O.K. ","KAMENNÁ,PRIUS ",K CINTORÍNU ,KOLIBA ,KOMENSKÉHO ,KORTINSKÁ ,KOŠICKÁ ,KRAGUJEVSKÁ ,KVAČALOVA ,KYSUCKÁ ,LETNÁ ,LIMBOVÁ ,MAGOČOVSKÁ ,MATEJA BELA ,MOSTNÁ ,MATICE SLOVENSK ,MOTEL ŠIBENICE ,NA LÁNY ,NA STANICU ,NÁM.SV.JÁNA BOS ,NÁM.HRDINOV ,NA STRANÍK ,OBCHODNÁ ,OCELIARSKA ,OSLOBODENIA ,OVOCINÁRSKA ,PAŽITE ,PIETNA ,POD KOZINOM ,POD VINICOU ,POD ZÁHRADKOU ,POLÍCIA ,POĽNÁ ,POŠTOVÁ ,POTOKY ,PREDMESTSKÁ ,PRI CELULÓZKE ,PRIEHRADNÁ ,PRIELOŽNÁ ,PRIEMYSELNÁ ,PRI KYSUCI ,"RAJECKÁ,ELV ","RAJECKá,MLIEK. ","RAJECKÁ,STAVOMO ",RAKOVÉ ,RÁZCESTIE HRIČO ,RÁZUSOVA ,ROSINKY ,"ROSINSKÁ,PLEM.P ","ROSINSKÁ,VÚVT ",RUDNAYOVA ,SALAŠ ,SALEZIÁNSKA ,SLNEČNÉ NÁMESTI ,SMREKOVÁ ,SPANYOLOVA ,STODOLOVA ,SV.CYRILA A MET ,"ŠIBENICE,STK ",ŠTEFÁNIKOVO NÁM ,ŠTÚROVO NÁMESTI ,TAJOVSKÉHO ,TULIPÁNOVÁ ,ÚDOLNÁ ,VEĽKÁ OKRUŽNÁ ,ŽIL.UNIVERZITA ,VETERNÁ ,VRANIA ,"BÁNOVÁ, COLNICA ",VYSOKOŠKOLÁKOV ,ZÁBREŽNÁ ,PRÍPOJNÁ ,ZÁVODSKÁ ,ZÁVODSKÉHO ,ŽITNÁ ,ŽEL.STANICA ,KULTURNY DOM ,ZVOLENSKA ,Rybné námestie ,Careefour ,"Košická,Tesco H ","Na Horevaží,Tes ",Pod Hájom ,Bánovská cesta ,Bernolákova ,ŽILINSKÁ LEHOTA 
ASANAČNÝ PODNIK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGAROVA ,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRATISLAVSKÁ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRODNO ,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRODŇANSKÁ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUDATÍNSKA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BYTČIANSKA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BYTČIANSKA,STS ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
CENTRÁLNA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CESTÁRSKA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
